Course ID,Title,Short Intro,Category,Sub-Category,Course Type,Language,Skills,Instructors,Rating,Number of viewers,Site,Subtitle_language_count,Duration in hours,count of column,,
12,"DevOps, Cloud, and Agile Foundations Specialization",,Computer Science,Design and Product,Specialization,English,"CloudNative,Devops,Scrum,CloudComputing,agile,Test-DrivenDevelopment,CI/CD,Behavior-DrivenDevelopment,IaasPaaSSaas,HybridMulticloud,AgileSoftwareDevelopment,ScrumMethodology,","John Rofrano ,Rav Ahuja ,",4.8,625,Coursera,9,240,12,,
13,Cloud Application Development Foundations Specialization,Kickstart Your Career as a Cloud Native Developer. Learn the foundational front-end and back-end skills for developing and deploying applications on Cloud.,Information Technology,Cloud Computing,Specialization,English,"Devops,PythonProgramming,Node.Js,HTMLandCSS,CloudApplications,CloudNative,IaasPaaSSaas,HybridMulticloud,CloudComputing,CascadingStyleSheets(CSS),HTML,Git(Software),","Rav Ahuja ,Upkar Lidder ,Michelle Saltoun ,Sachin Jambur ,",4.5,342,Coursera,9,360,12,,
14,Python for Everybody Specialization,"Learn to Program and Analyze Data with Python. Develop programs to gather, clean, analyze, and visualize data.",Computer Science,Software Development,Specialization,English,"Json,Xml,PythonProgramming,Database(DBMS),PythonSyntaxAndSemantics,BasicProgrammingLanguage,ComputerProgramming,DataStructure,Tuple,WebScraping,Sqlite,SQL,","Charles Russell Severance ,",4.8,202757,Coursera,12,480,12,,
15,Information Technology (IT) and Cloud Fundamentals Specialization,"Kickstart a new IT and Cloud Career . Master hardware, operating systems, programming, database, networking, storage, cybersecurity, and Cloud computing essentials. ",Information Technology,Cloud Computing,Specialization,English,"ITFundamentals,Cybersecurity,Cloud,Networking,hardware,TechnicalSupport,ITServiceManagement(ITSM),Troubleshooting,ITCareer,SoftwareDevelopmentProcess,databasemanagement,SoftwareApplicationDevelopment,","Skills Network ,Rav Ahuja ,",4.8,278,Coursera,9,420,12,,
16,"BI Foundations with SQL, ETL and Data Warehousing Specialization","Springboard for BI Analytics success. Develop hands-on skills for building data pipelines, warehouses,  reports and dashboards.",Information Technology,Data Management,Specialization,English,"ShellScript,Bash(UnixShell),Linux,CloudDatabases,PythonProgramming,Jupyternotebooks,RelationalDatabaseManagementSystem(RDBMS),SQL,Extraction,TransformationAndLoading(ETL),ApacheKafka,ApacheAirflow,DataPipelines,","Rav Ahuja ,Sam Prokopchuk ,Ramesh Sannareddy ,Hima Vasudevan ,Yan Luo ,Jeff Grossman ,Sabrina Spillner ,",4.6,210,Coursera,3,300,13,,
17,Natural Language Processing Specialization,Break into NLP. Master cutting-edge NLP techniques through four hands-on courses! Updated with the latest techniques in October '21.,Data Science,Machine Learning,Specialization,English,"Word2vec,MachineTranslation,SentimentAnalysis,Transformers,AttentionModels,WordEmbeddings,Locality-SensitiveHashing,VectorSpaceModels,Parts-of-SpeechTagging,N-gramLanguageModels,Autocorrect,WordEmbedding,","Younes Bensouda Mourri ,Łukasz Kaiser ,Eddy Shyu ,",4.6,4787,Coursera,2,240,12,,
18,Business Foundations Specialization,"Solve Real Business Problems. Build a foundation of core business skills in marketing, finance, accounting and operations.",Business,Business Essentials,Specialization,English,"Positioning(Marketing),Marketing,MarketingStrategy,CustomerSatisfaction,FinancialAccounting,Accounting,FinancialStatement,BalanceSheet,Decision-Making,ChangeManagement,HumanResources(HR),DiscountedCashFlow,","Barbara E. Kahn ,Peter Fader ,Jagmohan Raju ,Brian J Bushee ,Michael Useem ,Peter Cappelli ,Michael R Roberts ,Christian Terwiesch ,",4.7,17404,Coursera,13,420,12,,
19,Meta React Native Specialization,"Become a cross-platform mobile app developer. Learn in-demand skills for developing reliable, scalable and user-friendly mobile apps for multiple operating systems, such as iOS and Android.",Computer Science,Mobile and Web Development,Specialization,English,"WebDevelopment,React(WebFramework),HTMLandCSS,MobileDevelopment,JavaScript,Test-DrivenDevelopment,Front-EndWebDevelopment,Object-OrientedProgramming(OOP),Linux,Bash(UnixShell),Github,VersionControl,","Taught by Meta Staff ,",4.8,564,Coursera,1,480,12,,
20,Mathematics for Machine Learning and Data Science Specialization,"Master the Toolkit of AI and Machine Learning. Mathematics for Machine Learning and Data Science is a beginner-friendly Specialization where you’ll learn the fundamental mathematics toolkit of machine learning: calculus, linear algebra, statistics, and probability.",Computer Science,Algorithms,Specialization,English,"BayesianStatistics,MachineLearning,Mathematics,Probability,LinearRegression,LinearEquation,EigenvaluesAndEigenvectors,LinearAlgebra,Determinants,Calculus,MathematicalOptimization,GradientDescent,","Luis Serrano ,Elena Sanina ,Anshuman Singh ,Magdalena Bouza ,",4.5,369,Coursera,1,180,12,,
21,Introduction to Finance and Accounting Specialization,Learn the basics of finance and accounting. Build a foundation of core business skills in finance and accounting,Business,Finance,Specialization,English,"CorporateFinance,FinancialAccounting,FinancialStatement,Accounting,Decision-Making,DiscountedCashFlow,CashFlowAnalysis,BalanceSheet,GenerallyAcceptedAccountingPrinciples,AccountingTerminology,","Jessica Wachter ,Michael R Roberts ,Brian J Bushee ,",4.4,1753,Coursera,12,300,10,,
